Empresa,Relato
Serasa Experian,"Meu escore está muito baixo, tem dívidas que já passou de cinco anos já estão caduca e ainda permanece no Serasa, já entrei em contato com o Serasa pe a exclusão e não foi atendida, fui mal atendido, atendi dívidas indevidas que não são minhas e o Serasa não faz nada pra me ajudar."
iFood,"Fiz um pedidos de pizzas e ambas vieram completamente frias, enviei tudo para o ifood e nada foi feito"
Credz,"Conforme decisão do STJ, dividas com mais de 5 anos não podem ser mais cobradas. Solicito que dêem baixa das dividas que aparecem no meu nome no site do Serasa."
Serasa Experian,Solicito a exclusão do meu histórico em meu cadastro .
Mercado Extra,Comprei um bolo no mercado hoje 27/10 para comemorar o meu aniversário. Não reparei em data de vencimento. Quando eu e e meus parentes fomos comer o bolo estava azedo. Horrível. Que vergonha. E a data de vencimento era pro mesmo dia que eu comprei. Não conseguimos comer o bolo. Estava horrivel
Serasa Experian,OI BOA NOITE AQUI E MAURICIO RODRIGUES ESTOU RECLAMANDO DE NOVO POR QUE POR LEI NAO PODERIA MAIS COBRA NADA POR QUE DEPOIS DE 5 ANO O SPC E O SERASA TEM QUE CANCELA AS DIVIDA DO CLIENTES MAAIS ELES NAO ESTAO FAZENDO ISTO E MUITOS DELE EU NAO DEVO MAIS NADA POR DE PAGO OU NAO SER MINHA AS DIVIDAS COMO DA ELETROPAULO QUE ESTA ME COBRANDO E EU NAO DEVO NADA E NEM ESTA NO MEU NOME E OUTROS QUE ESTAO ME COBRANDO JA FAZ MAIS DE 5 ANO E EU NAO TENHO OBRIGAÇAO DE PAGA POR QUE JA ERA PARA DE CANCELADO OU DE DAR ABAIXA EU VCS RESOLVE OU ME DE UM RELATORIO PARA MIN PODE ENTRA COM UM PROCESSO COM A EMPRESA DO SERASA E DO SPC POR QUE EU ESTOU COM PROBLEMAS POR CALÇAS DELES ESPERO QUE RESOLVA E ME DE UMA POSIÇAO OU UM RELATORIO PARA ISTO UM ABRAÇO ..E A RESPOSTA.
Lojas Riachuelo,"Na data de 12/10/2024 efetuei uma compa na Loja Riachuello localizada no Via Verde Shopping, na Cidade de Rio Branco no Estado Acre. O valor da compra de 8 produtos deu R$ 489,20. Ganhei um chashback no valor de R$ 61,90. Ficando o valor total de R$ 427,30. Optei por efetuar o pagamento no crédito da loja escolhendo por dividir o valor total em 5(cinco) parcelas para 30(trinta) dias sem juros. Porém a operadora de caixa resgistrou a compra em 8(oito) parcelas com vencimento da 1ª parcela para o dia 03/01/2025. Resultando em uma cobrança de R$ 226,14 de juros abusivo em relação ao valor da compra ao término da oitava parcela paga. Não atentei para conferir o cupom fiscal e só percebir o erro nas parcelas quando recebir uma mensagem via SMS da Loja Riachuello."
Apple,"Em 19/10/2024 realizei a compra de um Iphone 13 128 g de cor preta, novo, no site da Casas Bahia efetuando o pagamento da quantia R$ 3.832,64 por meio de cartão de crédito. Ocorre que a Casas Bahia e a Apple me venderam um celular sem adaptador de corrente para utilizar o carregador. Na mesma data da compra, me vi obrigado a comprar um adaptador de corrente original Apple no site da Amazon no valor de R$ 129,99 para poder usar meu celular de maneira continua quando chegasse. Recebi meu celular na caixa sem o adaptador de corrente. Recebi meu adaptador de corrente comprado à parte para uso no celular."
Lojas Marisa,"Paguei a divida que tinha com eles com desconto a mais de 60 dias ,para limpar meu nome ,. porém; está na aba ""prejuizo"" do Bacen,me impossibilitando de conseguir crédito no mercado financeiro . Se eles aceitou fazer o acordo comigo ,eu nao posso ser prejudicado por isso."
Equatorial Piauí,"Tentei a fatura pela clara mais tá safo erro , meu pedido é que seja enviada para pagamento"
Hurb - Hotel Urbano,"Em 10/12/2022, adquiri um pacote de viagem para Itacaré (incluindo passagens aéreas para Ilhéus, hospedagem em quarto duplo ou triplo, e 4 diárias para serem utilizadas em 2024) no aplicativo da Hurb, pelo valor de R$ 1.007,69 (pedido nº 10294818). No entanto, em 29/08/2023, devido a notícias recorrentes sobre problemas operacionais da Hurb e à consequente perda de confiança na empresa, optei por cancelar a compra (cancelamento nº 15428489). A Hurb informou que o prazo de reembolso seria de aproximadamente 60 dias úteis a partir da data da solicitação. Por um tempo, não acompanhei o status do pedido, mas em 2024, ao lembrar do reembolso pendente, entrei em contato com a empresa para solicitar um posicionamento. Em resposta, a Hurb informou que o pedido de cancelamento ainda estava ""em andamento"". Sinto-me lesada pela demora, pois essa quantia poderia estar alocada em outras atividades ou investimentos de meu interesse, e o atraso me causa prejuízos financeiros. Se o valor tivesse sido devolvido com a rentabilidade básica de investimentos conservadores (como o Tesouro Direto), eu teria mantido o poder de compra, o que agora não ocorre. Muitos meses se passaram, e considero que a espera ultrapassou o limite do razoável."
Tim,"Liguei para saber porque o valor da minha fatura estava com o preço mais alto do que estava pagando , fiz contato direto com a ouvidoria falaram que meu plano tinha expirado e eu nao poderia contestar o valor. Que eu teria que fazer a renovação do plano com o valor mais baixo achei um descaso mas tive que renovar. Quero uma solução pois já pago outra fatura de outro número tim que é para o uso da minha filha. Gostaria de resolver sobre o valor do meu plano para poder fazer o pagamento. Pois a atendente foi muito grossa em responder minhas duvidas. Agradeço a atenção e aguardo retorno ."
Serasa Experian,"No site do Serasa , consta débitos que não existe mais , as empresas continuam aparecendo no site do Serasa e no registrato , impedindo que minha pontuação de score aumente e me impedindo de ter crédito ."
Portocred Financeira,"Assunto : Exclusão do meu nome Prezado(a) Banco Pan Eu, Juciano Dias Ribeiro, portador(a) do CPF XXX.XXX.XXX-XX, venho, por meio desta, solicitar a exclusão do meu nome dos registros de prejuízos bancários bloqueados por esta instituição. Esta solicitação se baseia nos direitos garantidos pela Lei Geral de Proteção de Dados Pessoais (Lei nº 13.709/2018 - LGPD), uma vez que a manutenção do meu nome nesses registros vem me causando prejuízos financeiros e danos ao prejuizo bancario Informações Dessa forma, com base nos meus direitos previstos pela LGPD, solicito: A remoção do meu nome dos serasa e do cadin Caso esta solicitação não for atendida vou buscar outro meios. Aguardo um retorno com a confirmação da exclusão do meu nome dos registros de prejuízo bancário e agradeço a atenção a este pedido. Atenciosamente, Juciano Dias Ribeiro CPF: XXX.XXX.XXX-XX"
Shopee Brasil,"No dia 10/10/2024, comprei sandálias da Havaianas pela shopee (ID 2110118TF3DUBW), pagando na mesma data PIX de R$ 71,99. Ocorre que inicialmente o fornecedor disse que fez entrega dia 16/10/2024, em meu condomínio (Exclusive Jabutiana, Select, ap. 1006, CEP XXXXX-X93). Todavia nenhum funcionário o recebeu. Pedi informações em em 17/10/2024 (Protocolo XXX.XXX.XXX-XX) informou que entregou a um ALEX em meu condomínio. Informei que não existe ALEX na lista de funcionários. Após, no protocolo XXX.XXX.XXX-XX, disseram que entregaram o produto dia 14/10. No Protocolo XXX.XXX.XXX-XX, disseram que entregaram a LUCIANA AZEREDO, que também não é funcionária de meu condomínio. Informei que queria o reembolso, pois a transportadora sequer identificou a quem entregou e em qual condomínio, juntando um “print” ilegível do local e com data diversa, sendo que no site da shopee consta como entregue em 11/10/2024. Hoje, 27/10/2024, verifiquei que “não foi autorizado” o reembolso e o cancelaram sem enviar e-mail ou apresentar qualquer justificativa. Assim, requeiro as providências para que a empresa “HAVAIANAS OFICIAL” e SHOPEE, onde é cadastrada, realize o meu REEMBOLSO, uma vez que por várias vezes informei que NÃO RECEBI O PRODUTO e já mudaram as datas de entrega e até disseram que entregaram a 2 pessoas desconhecidas, demonstrando uma desorganização e ausência de confiabilidade nas informações prestadas, mesmo tendo sido ADMITIDO que houve UM ERRO no protocolo XXX.XXX.XXX-XX e que REALIZARIAM O ESTORNO. Registro que hoje fiz o 2º PEDIDO DE REEMBOLSO, mas houve falha em razão do abusivo CANCELAMENTO DO 1º PEDIDO DE REEMBOLSO sem ao menos serem apresentadas justificativas."
Portocred Financeira,Meu nome encontra se no Registrato pela Porto cred SA a mais de 5 anos Nu bank fiz acordo e ainda consta no Registrato
C&A Pay,"Recentemente, fui surpreendida ao verificar que meu nome foi inscrito no SERASA, em decorrência de um cartão de crédito supostamente emitido pela C&A. Contudo, gostaria de esclarecer que nunca solicitei ou autorizei a abertura de tal cartão de crédito, e não tenho qualquer vínculo com esta operação. Essa inscrição indevida está gerando transtornos em minha vida financeira e afetando meu crédito, algo que considero extremamente sério e que deve ser resolvido com urgência. Inclusive tive um financiamento negado por conta desta negligencia da empresa"
Hurb - Hotel Urbano,"Eu fiz a solicitação de cancelamento no dia 03/08/2023 e a data do pagamento seria até dia 01/11/2023. Além de esperar os 60 dias que eles já pedem e ainda exigir que eu perca 20% do valor, eu ainda estou quase um ano sem retorno deles referente ao valor pago. Isso porque a viagem deveria acontecer em 2021 ! A empresa continua vendendo pacotes como se nada tivesse acontecido e como se não se preocupasse com os clientes que um dia confiaram na empresa. Eu quero receber o reembolso do meu pacote que está atrasado a um ano e o unico retorno que eu tenho é que estão verificando e não retornam !"
Neoenergia Pernambuco (Celpe),"Estamos desde a noite anterior com falta de energia, já foi dado várias previsões sem normalizar."
Latam Pass,"No início de 2020 planejamos uma viagem em família, a ideia era que eu e minha mãe pudéssemos compartilhar um tempo juntas, e minha mãe realizar o sonho de conhecer Porto Seguro porém logo após a compra das passagens da LATAM pela DECOLAR, explodiu a pandemia de corona vírus, e as viagens foram canceladas. Até o ponto do cancelamento é perfeitamente entendível, houve um evento de força maior que forçou a adiamento do cumprimento dos contratos, para um momento que fosse seguro viajar. Felizmente a pandemia passou, e a Vontade de refazer a viagem foi retomado com mais intensidade pq seria também uma celebração a vida, depois de tempos tão difíceis de isolamento e preocupação. Entrei em contato Decolar onde foi feita a compra das passagens para tentar a remarcar a viagem para data que seria possível realizar, já que trabalho com carteira assinada e possuo períodos específicos que posso me ausentar do trabalho e que em geral são pre agendados e sem possibilidade de alteração. Tentei contato com a empresa algumas vezes para proceder o reagendamento, porém não foi possível as datas não eram compatíveis para mim e para Minha mãe. A companhia aérea porém estabeleceu que a viagem deveria ser feita até no máximo o dia 08/03/2021, o que para as mim era impossível devido meu trabalho, desse forma sem possibilidade de realizar a viagem, pedir a devolução dos valores pagos, que até o momento não foram devolvidos. Fiquei extremamente chateada com a situação, da pandemia, mas o grande problema não foi esse, foi o momento de pós pandemia, que a esperança de concretizar a viagem foi impedido de duas formas, a primeira possibilitar a escolha de datas possíveis, e a segunda de negar a devolução dos valores pagos, que poderíamos termos organizado uma viagem em outra empresa com data compatível."
Cartões Renner (Realize CFI),Gostaria que retirassem meu nome da lista negra do bacem . Pois no registrado consta como prejuízo a empresa .so que eu já paguei tudo que devo a Renner mediante a acordo e vcs deixaram meu nome na lista negra do bacem . Peço que retirem pós isso afeta muito a minha linha de crédito .
Faculdade Anhanguera,"Bom dia! Desejo solicitar a revisão da dívida referente a minha matrícula, já estou formada, pois entendo que os juros são excessivamente altos e abusivos,impossibilitando que eu consiga quitar a dívida. Considerando os direitos previstos no Código de Defesa do Consumidor e o princípio do equilíbrio contratual, peço a redução da dívida condizente com minha capacidade de pagamento. Essa medida permitirá que eu quite a dívida e, ao mesmo tempo, manterá o relacionamento saudável entre cliente e instituição.Estou à disposição."
Serasa Experian,"Fui consultar o meu histórico de score, e para minha surpresa houve uma redução indevida. A empresa Alega, que houve mudanças nos meus hábitos, porém, não houve Qualquer mudança nos hábitos financeiros. Continuo pagando a fatura na antes da data de vencimento e muitas vezes antecipo a fatura, ou seja seu pagamento. Podendo constar até dois pagamentos no mesmo mês. Se a empresa cadastrada no cadastro positivo não informa eu não posso ser penalizado Tem outro cartão, que eles alegam que não informam para cadastro positivo nenhum tipo de informação. Logo eu não posso ser penalizado por isso"
Facebook / Instagram,"Estou tentando excluir todos os posts que patrocínio, pois é uma exigência para que eu consiga mudar de conta profissional para pessoal. Entretanto, sempre dá erro, não exclui e pede para tentar novamente. Já faz dias. Preciso de ajuda para excluir e migrar para conta pessoal. Preciso de suporte e não encontro isso dentro do app do Instagram. Mesmo nos órgãos fiscalizadores como Procon, a interação é demorada e nunca a contento. Minha solicitação é simples só preciso de suporte real do Instagram."
Vivo - Telefônica,"Bom dia, eu tive problemas com a vivo desde que migrei para a vivo com o plano controle , nunca consegui usar a internet pois sempre pegava 3G e nunca 4G! Entrei em uma reclamação aqui na plataforma com a vivo e vocês falaram que iria isentar as faturas em atrasado gerada pelo plano onde eu não consegui ultilizar os serviços de internet e falaram também que iriam cancelar o plano controle e migrar para o pré pago mantendo a minha linha ativa ! Tudo isso ao meu pedido a vivo, mas vocês não cumpriram com oque falaram !"
Hurb - Hotel Urbano,"Comprei o pacote paguei via boleto todo ele e a empresa não disponibilizou de nenhuma data para ocorrer a viagem, visto isso pedi o cancelamento e reembolso que o prazo já expirou e ainda não recebi o dinheiro de volta."
Gol Linhas Aéreas,"Gostaria de cancelar a passagem aérea emitida no dia 15/10/2024 de Campo Grande para São Paulo-Congonhas no dia 15/12/2024. Nos canais normais não foi possível, uma vez que os atendentes não estavam orientados a cumprir o artigo 49 do Código do Consumidor."
Hurb - Hotel Urbano,"em 03/03/2021 comprei um pacote saindo RJ a Orlando, 7 +3 diarias com hospedagem, foi pago BRL R$2978.40, a validade era de 01 de Agosto de 2022 a 30 de Novembro de 2022, exceto semanas de feriados e eventos na cidade de origem ou de destino. E de 01 de Março de 2023 a 30 de Novembro de 2023, onde desde o pagto do pacote, tendo reservar e nunca consigo a reserva. Eles sempre solicitando que eu altere a data mais pra frente."
Serasa Experian,"Em 27/10/24,entrei no site da Serasa Experian e verifiquei que constam 48 consultas em meu cpf nos ultimos 60 meses.Venho por meio deste solicitar a limpeza de todas as consultas realizadas em meu cpf e CNPJS XXX.XXX.XXX-XXXXXXX-X5 EAS CORRETORA DE SEGUROS E CONSULTORIA; XXX.XXX.XXX-XX195 EAS CORRETORA DE SEGUROS EIRELI; 50.514.149/XXXXX-X7 PRODUTOS TERRA BOA ; 52.632.737/XXXXX-X0 COLINA VERDE PRODUTOS PARA JARDINAGEM."
Serasa Experian,Exclusão meus dados como prejuízos nos bancos mencionado no Serasa
Cartões Renner (Realize CFI),Nome no registrato (Banco Central) de empresas que não possuo débitos.
Gol Linhas Aéreas,"A empresa aérea cancelou meu bilhete de volta, diante do meu não comparecimento ao voo de ida, e aplicou multa de 500 reais para remarcação. Se recusa a manter o meu voo de volta."
Cartões Renner (Realize CFI),A empresa não retirou meu nome das restrições de crédito. Peço por favor que resolva isso.
Facebook / Instagram,"Eu publiquei um reels, e assim que fui turbinar ele, ele ativou outros anúncios junto mas eu claramente só estava turbinando esse reels, e aí ativou todos, liguei entrei em contato pediram pra eu parar os anúncios e aguardar uma manutenção, e tentar de novo após a meia noite, só que aí meus anúncios após isso se ativaram sozinhos depois da meia noite e eu confirmei por ligação que tinha parado, depois disso eu pausei um único anúncio e todos foram pausados juntos, depois na segunda ligação acabamos conseguindo através do gerenciador de anúncios parar os que eu não queria veicular e deixar somente o que eu queria. Mas nisso perdi muito dinheiro com os anúncios que se ativaram sozinho. Eles dizem que pode ter sido um bug mas pra fazer algo a respeito precisariam de provas mas eu não tenho como mostrar pq não imaginaria que algo assim aconteceria pra eu estar gravando a tela no momento. Não conseguem ter dados o suficiente para saber e analisar coisa que seria o mínimo né ver que quando eu turbinei o primeiro os outros se ativaram."
Serasa Experian,"Venho por meio desta solicitar a exclusão de todos os meus dados pessoais e registros de dívidas que estão sendo exibidos pela empresa Serasa. Em conformidade com a Lei Geral de Proteção de Dados (Lei nº 13.709/2018), exijo que sejam removidos todos os meus dados pessoais e informações de eventuais dívidas exibidas ou disponibilizadas em quaisquer plataformas de consulta da Serasa, de modo a preservar minha privacidade e os meus direitos. Peço que seja fornecido um retorno com a confirmação da exclusão dos dados e eventuais comprovantes do processo, bem como qualquer documentação que indique a remoção completa das informações mencionadas."
Faculdade Anhanguera,"Encaminho à Ampli ha meses e por varios meios certificado e diploma de conclusão da primeira graduação e do segundo grau e nao validam. Nas ultimas tentativas pediam o verso do diploma e mesmo enviando reprovam o documento. Muito ruim e quase inexistente o suporte para auxilio, nao ha atendimento telefonico, nao tem polo presencial, no chat e whatsapp (quando se consegue acesso, que é dificil) respondem com scripts de copy e cola."
Vivo - Telefônica,"Estou contestando uma fatura que acabou de chega no meu email,na qual eu não estou ciente da mesma, até porque quando eu estava tentando cancelar o plano controle das operadora fui informado de que não seria gerado nenhuma outra cobrança . Na data de hoje chega essa fatura no valor de 46 reais."
Serasa Experian,Estão fazendo crime mostrando meus dados pessoais com uma dívida que já negociei e paguei
Azul Linhas Aéreas,"Prezados Senhores, espero que esteja tudo bem. Utilizando meus pontos, efetuei as Reserva QLPV9Q e VN7RUQ. Contudo, o voo da Reserva sofreu ALTERAÇÃO INVOLUNTÁRIA e consequente não comparecimento (no show) de 1 (um) passageiro. Liguei na Central e foi reembolsado apenas as taxas de embarque. Ou seja, apesar do voo ter sofrido alteração involuntária, não fizeram o reembolso da pontuação. A Resolução 400 da ANAC prevê reembolso integral em caso de alteração involuntária (por parte da cia)."
iFood,"Fiz um pedido no ifood e não me entregaram. Estava fazendo um importante trabalho na escola de musica e o endereço era de fácil localização. Fiquei frustrada e chateada em não receber o produto que era um lanche para meus convidados. Além de ter deixa eles com fome (porq não dava mais tempo para alimenta-los), nem a loja e nem o ifood qrem fazer o reembolso. Cliente a tanto tempo e sofri esse transtorno num momento de trabalho tão importante"
EDP São Paulo,"À EDP, Gostaria de expressar minha insatisfação com o atendimento prestado em relação ao problema de falta de energia elétrica que venho enfrentando desde às 15h do dia 26/10/2024. Por um curto no poste da rua, estou sem energia elétrica em minha residência, enquanto as demais casas próximas não apresentam a mesma falha. A energia tem apresentado oscilações frequentes, agravando ainda mais a situação. Às 16h, entrei em contato com a EDP e formalizei uma solicitação de suporte para solucionar a questão. Além do incômodo geral, minha situação é ainda mais crítica, pois tenho um filho AUTISTA que necessita de estabilidade e previsibilidade no ambiente, e a falta de energia tem afetado o bem-estar e a rotina de toda a família. Além disso, tenho alimentos refrigerados que, devido à falta de solução imediata, estão em risco de deterioração. Já se passaram várias horas desde a minha solicitação, e até o momento (01h do dia 27/10/2024), nenhuma equipe foi enviada para solucionar o problema."
Latam Airlines (Tam),"Prezados, bom dia Adquiri o bilhete em cabine Premium Economy para minha esposa de BEL a RBR, mas o sistema não está permitindo a marcação de assentos no trecho de MAO/BSB. trecho: BEL/MAO está marcado na 1C. trecho: MAO/BSB sistema não permite marcação trecho: BSB/RBR está marcado na 1C."
Serasa Experian,Na verdade quero saber se a Serasa pode compartilhar minhas informacoes sem minha autorização ?Pois isso vem acontecendo e queria saber se pode isso pelo direito do consumidor
