Empresa,Relato,Avaliacao
Nubank,em 05112024 verifiquei a o extrato  serasa  na qual constava cobrança do serviço r 456363 no valor r 456363 que por mim não é reconhecido pois está exorbitantemente acima valor inicial  r5030 de dívida do saldo restante da fatura do cartão de crédito. informo que após essa negativação o banco nubank somou juros e encargos exorbitantes e que ficou impossível o pagamento.,1
Banco do Brasil,boa tarde após minha reclamação aqui referente ao bloqueio da conta corrente agora eles bloqueou também a operação na poupança hoje por volta das 1255 fui fazer uma transferência via pix apareceu uma mensagem onde não consegui fazer a transferência antes eu conseguia fazer transferência na poupança não sei porque o banco do brasil fica impondo as restrições na minha conta não devo nada a instituição eles . eles colocam essas restrições para obriga o cliente a comparecer na agência deles  isso não pode acontecer.,1
Nubank,minha dívida era de cerca 90000 reais e hoje está em mais de 2.80000 percebo que há juros acima da média do banco central na evolução da dívida,1
Caixa Econômica Federal,verifiquei na data presente que meu nome consta no registrado,5
Caixa Econômica Federal,em 05112024 verifiquei a o extrato conta corrente na qual constava cobrança do serviço de empréstimo no valor r 21484 que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação. um empréstimo no caixa tem na data 18052022 no valor de 92120.,3
Nubank,fiz uma negociação com o cartão de crédito porém os valores ofertados estão acrescidos de juros muito altos visto o valor contratado.,1
Nubank,em 04112024 verifiquei a o extrato  cartão de crédito  conta corrente na qual constava cobrança de juros muitos altos no valor 20.88640 que por mim acho esse juros abusivos pois tentei acordo em 04112024 tentando uma contra proposta no valor de rs 50000 onde minha divida atual seria de rs 1.31982.,1
Nubank,em 04092024 verifiquei a o relatório de scr no registrato e na geração do relatório de ate 5 anos consta como prejuízo uma negociação paga.,5
Nubank,fiz uma negociação e mesmo pagando a parcela em dia continuaram cobrando juros dessa forma nunca consigo terminar de pagar além disso devo para o cartão na base de 3050 e estão cobrando 8 mil já tentei negociação pelo o valor justos mas não aceitam. o que entende que eles não querem receber,1
Nubank,em agosto de 2024 082024 fiz um acordo com o nubank sobre minha dívida pendente realizei o pagamento do acordo e o banco retirou meu nome do serasa como dizem mas no bacen o banco ainda acusa o débito em estado vencido mesmo após o pagamento do acordo.,1
Banco Itaú Unibanco,solicito a exclusão do meu nome desta lista em anexo.,3
Banco Inter (Banco Intermedium),dado o encerramento da minha conta há cashback pendente de compensação do inter shop pontos do inter loop já recebido em protocolo anterior foi respondido pra eu solicitar via app. vou acessar o app com minha conta bloqueada pra solicitar isso no ultimo foi dito que para participar basta aceitar os termos e condições de uso pelo super app dentro da seção inter loop sendo que já tenho pontos lá como informado pessoal não sabe ler. e continuaram que sobre o não recebimento dos pontos identificaram que você não seguia uma das principais regras do programa inter loop qual seja débito automático ativo. no mínimo já significa que aceitei os termos e condições evidencia da incoerencia das respostas mas tem mais. nesse contexto vale dizer que para os cartões gold platinum black que não seja do segmento black e mei é necessário ter o débito automático da fatura ativo. clientes do segmento black win não precisam ativar o débito automático. clientes pj também não precisam ativar o da primeiro que há anos o débito automatico ta habilitado mas não só isso eu era do segmento black ou seja de acordo com as proprias regras nem precisaria estar. eu n sei como ainda me surpreendo com a incompetencia das respostas. tenho que aceitar os termos de uso mas não recebi os pontos pq não estava no debito automatico então o problema não foi os termos de uso mas black não precisa ter debito automatico e eu sou black. meus parabéns superaram as expectativas da macaquisse comum...,1
Banco Santander,após muitas renegociações da dívida do consignado o montante do contrato e o pagamento parcelado imposto pelo banco tornou a mesma impagável comprometento outros pagamentos e minha subsistência.,2
C6 Bank,no dia 09102024 realizei a contratação do cdb cartão de crédito limite garantido com o investimento de r 1.00000 com a intenção de liberar limite no cartão de crédito. porém após realizar o investimento fui informado pelo atendente de que a função crédito não poderia ser liberada devido a um acordo que fiz anteriormente e que venho pagando mensalmente. ressalto que não tenho nenhuma fatura em aberto no sistema do cartão que está configurado apenas na função débito. hoje 04112024 ao tentar realizar o resgate do valor investido no cdb recebi a mensagem resgate não realizado o valor do cdb cartão de crédito está em uso no cartão e só poderá ser resgatado quando valor estiver pago. desde então tentei resolver a situação por meio do chat e telefone mas sem sucesso. nenhum atendente consegue me informar o motivo da retenção e cada contato transfere a responsabilidade para outro setor. reforço que não possuo nenhum valor em aberto com o c6 bank e a retenção do valor é portanto abusiva e sem fundamento.,5
Banco Inter (Banco Intermedium),atendimento negado no dia 1110 a propria mensagem do banco é de que funciona das 0800 as 2000 e às 1800 o banco estava negando atendimento alegando estar fora do horário.,1
Banco Inter (Banco Intermedium),prorrogação não concedida. foi realizado solicitação de portabilidade de um ativo no dia 2509 com sla de 2 dias e só finalizado no dia 0810. entrei em contato já duas vezes e abriram mais 2 protocolos com 5 dias uteis. banco simplesmente não respeita os clientes acha que pode fazer o que quer e ta tudo certo até ser protocolado na justiça e quer acordo. estive impossibilitado de movimentar os ativos em questão devido a minha conta estar bloqueada tendo prejuízo financeiro pela volatidade dos ativos.,1
Banco Inter (Banco Intermedium),empresa está agindo contra os termos de uso da plataforma respondendo e finalizando com pedido de prorrogação pra responder por fora da plataforma. sendo que tanto o 2024.09xxx.xxx.xxxxx como 2024.09xxx.xxx.xxxxx foi respondido com prorrogação e não houve resposta. no protocolo 2024.10xxx.xxx.xxxxx foi copiado a resposta de outro protocolo em aberto. e o ultimo protocolo com resposta incoerente. dado o encerramento da minha conta . possuo em conta cashback pendente de compensação do inter shop pontos do inter loop já recebidos e pontos do inter loop pendente de pagamento da fatura.,1
Banco Inter (Banco Intermedium),protocolo anterior nenhuma das reclamações foram respondidas e postergação de resposta não é resposta. além de n ter relação com b3 investimento fii pulv11 teve rendimento em junho de r 012 por cota e o inter pagou apenas r 004 e no protocolo anterior afirmou mais uma vez ter sido r 0035 e ainda assim ter admitido que rendimento do pulv11 era de r 0115 por unidade mas se nega no pagamento do valor restante. e o rendimento de julho foi de r 010 por cota e o valor recebido também está incorreto o valor de r 010 é uma informação pública e pode ser verificada essa informação está até na própria b3. como solicitado no protocolo anterior.,1
Banco Santander,venho por meio desta registrar uma reclamação em relação à minha situação financeira com o banco. em 28082023 negociei um contrato de empréstimo no valor de r r 71.71964 dividido em 72 parcelas de r 1.07129. cumpri com todos os meus pagamentos até o mês de dezembro de 2023 quando fui afastada das minhas atividades profissionais. devido a esse afastamento não consegui honrar os pagamentos a partir de fevereiro de 2024 totalizando 8 parcelas em atraso. tentei negociar a dívida mas o banco informou que não tenho margem disponível para novas negociações. a única opção apresentada foi o pagamento integral das parcelas em aberto que hoje totalizam aproximadamente r 15.00000. no aplicativo do banco constatei que o valor total da dívida aparece como r 967.00400 o que considero abusivo e exorbitante especialmente diante da minha condição atual. peço a intervenção do consumidor.gov.br para que minha situação seja revista e para que eu possa encontrar uma solução justa e viável para regularizar minha dívida sem ser submetida a cobranças excessivas. aguardo um retorno e agradeço pela atenção. atenciosamente,1
Banco Itaú Unibanco,verifiquei no site do banco central que consta dívida em meu nome porém já foi quitada gostaria que retirasse para melhorar meu score  porque não consigo abrir cartão de crédito nem crediario estou sendo prejudicada,1
Banco Inter (Banco Intermedium),pela quinta tentativa já que o banco respondeu os ultimos 2 protocolos com prorrogação sem meu consentimento sem resposta direcionada ao problema. e nos 2 últimos resposta incorreta e incoerente com o reclamado. possuo uma ação pulv11 desde o mês de junho solicitei a venda de todas as cotas pelo valor de mercado no momento da venda r 1010 8 tentativas no total de 1001 até ás 1014 e não foi possível concluir a operação sendo cancelada imediatamente após solicitação sem erros sem justificativa. o atendimento pelo chat se negou a resolver o atendimento pelo whatsapp abriu uma solicitação protocolo xxx.xxx.xxxxx7322. nesse momento o valor já teve uma queda. dado que o problema foi causado por erro de sistema do banco. deve ser corrigido os valores. informo ainda que esse assunto não tem nada a ver com o processo judicial já aberto contra a empresa como informado pelo atendimento incompetente do banco ainda. como já sabemos que vcs não tem competencia pra atender os clientes eu vou orientar vocês. o valor a mercado é definido pelo próprio app não podendo ser alterado pelo usuário como evidencia em anexo. quanto ao pregão vcs podem ver o email que eu mandei sobre esse assunto bem importante analisarem. como informado no 2024.09xxx.xxx.xxxxx. não aceito prorrogação.,1
Banco Inter (Banco Intermedium),foi realizada a compra de 4000 cotas do ativo pulv11 e o banco indevidamente liberou 4000 cotas do pulv15 posteriormente falhou na pagamento de proventos que obviamente teve divergencia no rendimento. em protocolos anteriores resposta inverídica da empresa informando que não liberou indevidamente pulv15 e que é procedimento padrão mas possuo todos os documentos fornecidos pela empresa e essa informação e essa cota não está em nenhum dos documentos ou sequer informado em contato com o assessor nem é possivel avaliar a existencia desse ativo em outros meios. por tanto há valores a serem corrigidos. e também nenhuma relação com b3. rendimento em junho de r 012 por cota  o inter pagou apenas r 0035 rendimento de julho foi de r 010 por cota  inter o valor de r 009 são informações públicas e podem ser verificadas essa informação está até na própria b3.,1
Banco Inter (Banco Intermedium),essa reclamação não tem nenhuma relação com a ação judicial aberta atualmente contra a empresa e em protocolo anterior banco respondeu com conteudo completamente incoerente com o problema. investimento não está na b3 mais uma vez a empresa me roubou. o investimento inicial de r 510148 com rentabilidade de ipca  432 a.a após 3 anos foi pago apenas r 542427. essa empresa acha que os clientes são otários não é possível isso... em anexo evidencia de 5 de agosto que o investimento já estava com r 625916 de valor líquido. não adianta entrar em contato com a empresa nunca são incapazes de responder ou resolver qualquer coisa. foi respondido em protocolo anterior que já existe outro protocolo aberto sobre o assunto mais uma mentira dado que foi respondido como prorrogação e finalizado sem resposta.,1
Banco Inter (Banco Intermedium),deveria receber proventos dia 1410 que ficou no lixo da conta do inter que foi cancelada e desde o dia 1210 não consigo contato. o atendimento é insuperável de tão ruim incompetentes demais não respondem e quando respondem é uma macacada sem sentido nenhum. disseram  o recurso já está em conta. que conta só depois que finalmente pagaram mas como sempre tem roubo pagaram r 39024 ao inves de r 39026deveria receber proventos dia 1410 que ficou no lixo da conta do inter que foi cancelada e desde o dia 1210 não consigo contato. o atendimento é insuperável de tão ruim incompetentes demais não respondem e quando respondem é uma macacada sem sentido nenhum. disseram  o recurso já está em conta. que conta só depois que finalmente pagaram mas como sempre tem roubo pagaram r 39024 ao inves de r 39026,1
Banco Inter (Banco Intermedium),prorrogação não concedida e reclamação do banco central não respondida. depois de inumeros problemas devido a queda surpreendente de qualidade do atendimento do banco decidiram finalmente encerrar minha conta por si isso não é um problema pois já era minha intenção mesmo. é triste ver o lixo que o banco se tornou porém nossos assuntos não terminam com o encerramento da conta. vocês ainda precisam resolver os problemas abertos em outros protocolos especialmente em relação aos investimentos o ipca  432 que foi pago muito menos do ipca em 3 anos o pagamento incorreto dos proventos do pulv11 do mês de junho que foi pago como indevidamente como pulv15 e os r 8 de encargos que foi cobrado durante o bloqueio da minha conta.,1
Banco Inter (Banco Intermedium),fiz a portabilidade das cotas do pulv11 pra outro banco melhor e fui informado pelo atendimento horrível do banco que os proventos já seriam pagos no banco melhor mas caiu na conta desse banco que já está cancelada não só demoraram de transferir como transferiram o valor incorreto mais uma vez. r 39024 ao invés de r 39026.,1
Nubank,minha divida originaria junto ao nubank era 4.80694 já tentei varias negociações e hoje dia 041124 me ofertaram a seguinte proposta 24 x 1.55951 disseram que minha divida atual é 94.54237. totalmente abusivo e esta me impedindo de conseguir credito em outros bancos para quitação do valor orginal.,1
Banco Santander,gostaria de fazer um acordo ou negociação referente a divida que está em aberto,5
Nubank,buscando atendimento ura indisponível não entendia  ia para um atendimento humano  colocava mudo e caia a ligação,1
Banco Itaú Unibanco,olá foi realizado atráves de uma negociação vai app do banco a quitação de um contrato cheque especial. esta fazendo 20 dias ou mais. porém o valor aparece como em aberto no bacem estou tetanto relacionamento com outra institução  porém não estou conseguindo por que aqui no bacen o valor segue como pendenete ele foi pago. peço que seja feita a remoção.,3
C6 Bank,minha conta no c6 bank foi encerrada de forma unilateral por parte do banco e sem justificativa e logo em seguida entrei em contato solicitando uma reanalise e reconsideração do banco para reativação da conta e o reestabelecimento de minha relação com o banco visto que desde a abertura da conta foi mantido uma inteiração vantajosa para ambos os lados na utilização dos serviços disponibilizados a mim quanto na assiduidade e contra partida de mim como cliente porem já passam de mais de 30 dias e não obtive resposta.,1
Caixa Econômica Federal,negativaram meu nome ao bacen sem fazer contato comigo para pagemto fiz o emprestimo atraves do auxilio brasil para quitação de dividas e paguei algumas parcelas mais acabei desempregado e sem ter como pagar hoje não consigo pagar e meu nome esta negtativo por isso.,1
Nubank,em junho de 2023 perdi o emprego e deixei de pagar empréstimo pessoal e cartão de crédito para a institução financeira supracitada  cartão de crédito  conta corrente no valor de r3.50000. hoje estão me cobrando o valor r134.00000 cento e trinta e quatro mil reais . tenho interesse em resolver porém os juros abusivos tornam impossível o pagamento.,1
Nubank,boa tarde. estou em débito com a fatura de cartão de crédito. entrei no aplicativo para parcelar a dívida mas o juros é absurdamente alto o valor da dívida quase dobra. assim fica impossivel fechar o acordo para quitação da dívida.,1
Banco Santander,ao pagar uma dívida com desconto o banco enviou meu nome pro scr como prejuízo e está me prejudicando a conseguir crédito. se o banco quis fazer acordo comigo não posso ser prejudicado segundo entendimento do stj. solicito a imediata retirada do meu nome.,2
Banco Santander,venho por meio desta solicitar a revisão da taxa de juros aplicada ao contrato de crédito pessoal contrato nº xxx.xxx.xxxxx000700060. após análise detalhada do contrato e da taxa de juros aplicada verifiquei que os índices praticados pelo banco santander se encontram significativamente acima da média estabelecida pelo banco central para operações da mesma natureza. em função disso peço que a instituição reavalie a taxa de juros praticada ajustandoa conforme os parâmetros orientados pelo banco central para créditos pessoais. a manutenção das condições atuais impõe um ônus financeiro excessivo e incompatível com as condições de mercado. taxa de juros do banco 7.89 ao mês parcela do banco r 3.502 taxa de juros do bacen 3.11 ao mês parcela correta r 1.36415,1
Banco Santander,estou buscando contato com o banco santander de inúmeras formas através do app santander de email e também através da central de atendimentos pelo telefone com a finalidade de renegociar as minhas dívidas através de alguma modalidade que possa unificar as minhas dívidas com parcelamentos a longo prazo pois todos os meus contratos ultrapassam o limite de minha renda afetando diretamente as necessidades básicas.,5
Mercado Pago,venho por meio deste relatar que a empresa mercado pago me enviou uma notificação no aplicativo para eu fazer o cadastro da chave pix que seria ser meu telefone ou cpf e que ganharia 28off para fazer uma recarga de 30 reais . cadastrando minha chave pix com eles.  tirei minha chave de outro banco e no mesmo dia fiz a validação da chave e estava aguardando receber o casback prometido de sexta feira dia 011124 até a data de hoje 041124 nada entrei em contato ontem com a empresa disseram que resolveria e até agora não tenho meu casback prometido.,4
Nubank,solicitei ao banco o descritivo de evolução da dívida pois os juros cobrados são exorbitantes. até o momento não enviaram nenhuma informação para mim. para piorar a empresa que realiza as cobranças pela nubank me liga de 30 em 30 minutos o dia todo. segundo o código do consumidor arts 42 e 71 o devedor não pode ter ligações excessivas e abusivas pois está atrapalhando no meu trabalho.,1
Banco Santander,santander s.a paguei pelo programa desenrola brasilnegociaçao de numero 181403 tem tambem um acordo que tive anteriormente com a instituição e fiz o pagamento em parcelas que nao foi dado baixa e continua aparecendo como devedor tentei contato com banco que informou nao ter dividas e poderia ser alguma empresa de cobrança que nao fez baixa porém ainda parece em meus rejustros que devo ao bco santander. dividas estas que também pode ser de cartão de credito de lojas pois não sei quem era o banco correspondente são elas renner ca pernanbucanas vest casa lojas marisa riachuelo dividas estas que já estao quitadas pelo programa desenrola brasil porém nao foram baixadas nas instituições e continuam ligando e cobrando insistentemente e me prejudicando financeiramente e em entrevistas de emprego,1
Nubank,gostaria de registrar uma reclamação em relação aos juros aplicados pelo nubank na evolução da minha dívida de cartão de crédito que considero abusivos e desproporcionais. em 25032024 o valor da minha dívida era de r 3.23530. após poucos meses e mesmo considerando as parcelas e o desconto oferecido pela empresa o valor atualizado da dívida atingiu r 8.33929. os juros aplicados neste caso estão excessivamente altos comprometendo minha capacidade financeira e tornando praticamente inviável a quitação da dívida. solicito a revisão e renegociação dessa dívida com uma taxa de juros mais justa e condizente com minha situação financeira. solicitação  revisão dos valores cobrados.  renegociação da dívida com condições mais acessíveis.  redução dos juros aplicados. aguardo um retorno da empresa para que possamos resolver essa questão de maneira justa e amigável.,1
Banco Santander,ja fiz o parcelamento e pagamento da divida o mesmo ainda fica aparecendo paguei a meses,1
Banco Inter (Banco Intermedium),banco inter está desconto sem minha autorização um seguro premio que eles alega que eu que fiz quando pedir antecipação de fgts porém eu já tinha feito outras antecipação e nunca vinha descontando e também não vi em nenhuma da contrato um aviso de contratação de seguro . a partir de maio começou a descontar 3 vezes ao mês até agora em novembro  que dá um valor total de 7000  eles cancelaram o serviço porém estão se negando a me devolver . sinceramente não sei nem do que se trata esse seguro e para que seve pois não foi informado preciso que me ajude a devolver esse valor. prot.xxx.xxx.xxxxx2471  banco inter.,1
Nubank,gostaria que fizessem uma negociação com um desconto igual foi feito no cartão de credito com 97 de desconto com isso faria a quitaçação de ambos os contratos emprestimo e cartão de credito visto que o desconto dado hoje fica ruim para negociar que foi de 85 ficando um valor 6.59533 no qual nao acho justo comparando com cartões deixo claro que quero negociar se chegarmos a um valor justo.,1
Mercado Pago,bom dia. tenho conta neste banco estou muito insatisfeito pela cobrança antecipada antes do vencimento. fica alegando que estou com uma pendência como pendência de ainda falta 2 dias corridos pra vencer nunca deixei de honrar meus pagamentos seja com cartão de crédito e empréstimo restritamente em dias.,5
Nubank,contratei um crédito pessoal no valor de r 8.25637 porém o valor total a pagar com os juros é de r 18.11663. são dez mil reais a mais ou seja mais de 100 de juros sobre o valor.,1
Nubank,preciso do descritivo da evolução da minha dívida,2
Banco do Brasil,a empresa não entrou em um acordo comigo querendo que eu pague juros abusivo isso é forma abusiva contra meu nome,1
Banco do Brasil,lei nº 9.492 de 10 de setembro de 1997,1
Nubank,em 03112024 verifiquei ao registrato na qual constava o registro do meu nome no prejuízo bancário após o período de 5 anos.,3
Banco do Brasil,data da dívida 01122017 já solicitei a retirada dos registros do spcserasa que computam restrição em meu cpf de dividas caducadas porém mesmo o serasa não dispõe de opção apenas indicando o pagamento da mesma e também a servidora do serviço também somente dispõe da quitação do débito caducado ou preescrevido. solicito a retirada das restrições em meu cpf conforme a prescrição em vigor.,1
Nubank,estao cobrando juros abusivos ligacoes,1
Banco Santander,ao pagar uma divida com desconto  o banco enviou meu nome para o scr como prejuizo e esta me prejudicando ao conseguir credito. se o banco quiz fazer acordo comigo  nao posso ser prejudicado  segundo entendimento do stj. solicito a imediata retirada do meu nome  sob conta decreto do stj.,1
Caixa Econômica Federal,sou motorista de uber e nao tenho condicoes de pagar o valor da divida.,1
Banco Itaú Unibanco,valor cobrado acima do devido. cobrança indevida.,5
Nubank,prezados conforme comunicado de superendividamento enviado em demanda aberta anteriormente sob protocolo n 409919 venho através deste formalizar minha solicitação de renegociação de dívidas diretamente pelo procon e bacen uma vez que não obtive êxito em nenhuma das conversas via telefone e pela agência onde somente me foi oferecido valores que não tenho condições alguma de pagar diante do meu cenário de superendividamento sei que os bancos tendem a pedir para que o procon recuse tal demanda mas neste pedido estou seguindo a exata recomendação dada nos moldes do código de defesa do consumidor atualizado pela lei 14.181 em seu artigo 104c. compete concorrente e facultativamente aos órgãos públicos integrantes do sistema nacional de defesa do consumidor a fase conciliatória e preventiva do processo de repactuação de dívidas nos moldes do art. 104a deste código. reforço que nenhuma das minhas propostas eu ofereço pagar menos do que tomei emprestado com as devidas correções pois estou ciente da minha obrigação de pagar o principal emprestado e em nenhum momento tenho intenção premeditada de dar calote ou agir de má fé pois a todo momento venho reforçando através de atos práticos minha boa fé e intenção de negociar de forma que eu consiga pagar minhas obrigações de moradia alimentação saúde e transporte e honrar com as obrigações financeiras e faço isso exatamente para não ter que buscar a justiça pois acredito verdadeiramente que os senhores avaliarão os fatos e estarão dispostos a negociar aqui mesmo na fase conciliatória do superendividamento. com isso esclarecido segue minha proposta de negociação ofereço proposta para quitar a dívida no valor de rs 9.600.00 do empréstimo nubank número do contrato xxx.xxx.xxxxxxxx.xxx.xxxxxxxx.xxx.xxxxx81468571 e posso pagar esse valor de forma parcelada em 36 x 26666 reais sem comprometer manutenção dos itens básicos para minha família e para que consiga um acordo com todos os meus credores. me coloco a disposição para receber uma contraproposta mas de fato não consigo assumir um valor acima do proposto pois como informei no comunicado anterior hoje no sistema de informações de crédito do banco central  scr minha responsabilidade total em reais é de r 147.87793 em 11 bancos e instituições financeiras. caso seja necessário posso enviar a vocês meu comprovante de pagamento e rendimentos mensais junto com a comprovação de toda minha movimentação financeira onde pago minhas necessidades básicas uma relação de todas as minhas dívidas que são com garantia e sem garantia e também um descritivo detalhado de minhas despesas essenciais mensais pois desde que constatei a minha situação de superendividamento toda minha movimentação está em uma única conta e do mesmo modo que estou encaminhando esse pedido a vocês estou encaminhando para todos os meus credores de outras instituições e não tenho absolutamente nada a esconder ou,5
Mercado Pago,prezados venho por meio desta solicitar o auxílio do consumidor.gov.br para a resolução de um bloqueio injustificado nas minhas contas pj e pf junto ao mercado pago. essa situação me afeta diretamente a suspensão está retendo o saldo de minha conta pessoal pessoa física o qual necessito urgentemente para cobrir compromissos financeiros essenciais visto que recentemente fiquei desempregado e transferi minha recisão para o mercado pago porém com essa situação não consigo resolver pelos canais de atedimento do mercado pago sempre recebo respostas genericas e insuficientes do ocorrido e não querem liberar os valores de imediato. por ligação no 0800 637 7246 no mesmo dia da suspensão 01112024 ás 2213 da noite com protocolo 350455519 fui informado que o caso seria repassado para o time de segurança e por meio da ligação nada foi resolvido hoje 03112024 recebo um email automatico e generico sem maiores explicações apenas informando que a conta foi suspensa novamente nada resolvido. todo esses problemas ocorreram após eu abrir essa conta pj no dia 20072024 para separar minhas demandas de mei e de pessoa física pois eu estava recebendo tudo na minha conta pf passei um tempo recebendo os pagamento de clientes na conta pf do mercado pago só após abrir a conta pj e receber alguns pagamento que começaram a surgir problemas logo parei de receber com mercado pago na conta pj no dia 31072024 e passei a usar outra instituição. como cliente sintome lesado pois as contas foram suspensas sem qualquer aviso prévio e sem uma justificativa clara visto que tenho certeza que não descumpri nenhum dos termos e condições do mercado pago em nenhuma das minhas contas essa suspensão é um erro e peço que o consumidor.gov.br intervenha junto ao mercado pago para revisar e desbloquear minha conta possibilitando que eu recupere o acesso ao meu saldo o mais breve possível. estarei abrindo reclamação no reclame aqui procon consumidor gov bacen entre outros meios a fim de resolver o problema e desbloquear minha conta.,5
Nubank,fiz um empréstimo e atrasei numa época que fiquei desempregado e não consegui pagar. os juros foram aumentando e virou uma bola de neve que sujou meu nome. gostaria de uma oportunidade de limpálo.,3
Caixa Econômica Federal,na caixa econômica consta que não tinha direito aos 98 de desconto sendo que me encaixava em todos os critérios estabelecidos e ainda estou desempregado. no bradesco não tenho qualquer movimentação e já cancelei todos os débitos já. no itaú as últimas negociações parecem não estarem vijentes nunca recebo os boletos fazendo com que eu sempre tenho dúvidas com eles.,1
Banco Santander,gostaria de solicitar a exclusão do meu nome nos orgãos de proteção de credito pois já faz mais de 5 anos e eu ja fiz o acordo e pagamento das dividas,1
Nubank,em data verifiquei a o extrato  cartão de crédito  conta corrente na qual constava cobrança do serviço indique o serviço cobrado exemplo seguro título de capitalização etc no valor indique o valor da cobrança que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação. descreva os contatos realizados com a empresa os indicando data horário e o atendimento recebido e informe se o valor contestado foi ou não pago,1
Nubank,preciso do descritivo da evolução da minha divida,1
Nubank,boa tarde  eu leandro portador cpf xxx.xxx.xxxxx venho informar minha indignação com esse banco um total despreparo pra soluciona a dívida do cliente e cobra valores absurdos 3x acima da dívida juros abusivos já entrei contato eles não responde no site do governo fica mandando msg no email dizendo alegando q no aplicativo pode negocioar sendo q no aplicativo ou vc paga o que o banco determina que é um valor muito acima do que foi gasto,1
Nubank,segue em anexo o valor de uma dividida que caducou é meu nome está sujo no serasa e em prejuízo. já tentei por diversas vezes negociar o valor parcelado e o banco não facilita quer cobrar o valor total com juros.,1
Nubank,gostaria de fazer um acordo com a instituição foi oferecido um acordo de pagamento a vista no valor da 200000 reais no entanto quando entrei em contato o acordo não estava mais disponível passou para 500000 reais caso a instituição tenha interesse em negociar eu aceito a negociação de 200000 dois mil reais a vista.,3
Banco Itaú Unibanco,realizei uma renegociação no itaú paguei 08102024 está tudo em dia e eles não dão baixa no serasa está como não pago liguei e pedi e nada.,1
Nubank,queria renegociar a dívida  só que estão cobrando um valor exorbitante muito alto do valor devido  muito juros não dá pra pagar esse valor tá muito alto..,1
